Body Name;x;y;z;vx;vy;vz;m;center
Sun;0.00;0.00;0.00;0.00;0.00;0.00;1989000000000000000000000000000.00;Sun
Mercury;-38432389.89;32383366.57;6171918.03;-41.31;-35.26;0.91;328500000000000000000000.00;Sun
Venus;-16328270.51;-107443674.67;-531594.69;34.39;-5.40;-2.06;4860000000000000000000000.00;Sun
Earth;-2813761.28;147128507.14;-6128.42;-30.27;-0.69;0.00;5970000000000000000000000.00;Sun
Mars;-241456265.98;-41365733.08;5058954.37;5.00;-21.81;-0.58;639000000000000000000000.00;Sun
Jupiter;-643611132.63;-496207683.71;16462207.34;7.83;-9.74;-0.13;1897270000000000000000000000.00;Sun
Saturn;-211105.01;-1505412728.46;26174399.83;9.14;-0.04;-0.36;568300000000000000000000000.00;Sun
Urano;2653534265.95;1350425667.36;-29343446.27;-3.13;5.74;0.06;86810000000000000000000000.00;Sun
Neptune;4289246132.90;-1290277473.85;-72286201.60;1.54;5.23;-0.14;102400000000000000000000000.00;Sun
Luna;-2496392.38;146883583.50;-10508.02;-29.70823;0.1046;-0.09;73476000000000000000000.00;Earth
Europa ;-644190982.91;-495867869.45;16465957.67;0.78;-21.50;-0.77;47998440000000000000000.00;Jupiter
Ganymede ;-643804451.58;-495153453.55;16499516.98;-2.86;-11.68;-0.35;14819000000000000000000.00;Jupiter
Io;-643431143.24;-495824707.41;16478445.08;-7.81;-2.41;-0.09;89319300000000000000000.00;Jupiter
Callisto;-644982474.20;-497511739.29;16402626.56;13.48;-15.62;-0.25;107593800000000000000000.00;Jupiter
